time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,supported,wheel_rad_s
24.5,2.051105498447445,-6.524804127926937,-0.27030649280736385,0.27030649280736385,-0.25603991746902466,0.25603991746902466,0.705332903871414,-0.705332903871414,3,1.0,0
24.52,1.9205938247880592,-6.524421383938727,-0.26710649824330746,0.26710649824330746,-0.25283992290496826,0.25283992290496826,0.705332903871414,-0.705332903871414,3,1.0,0
24.54,1.7900897140760685,-6.52404676594806,-0.26390650367925106,0.26390650367925106,-0.24963992834091187,0.24963992834091187,0.705332903871414,-0.705332903871414,3,1.0,0
24.560000000000002,1.6595930038159992,-6.523680269606507,-0.26070650911519466,0.26070650911519466,-0.24643993377685547,0.24643993377685547,0.705332903871414,-0.705332903871414,3,1.0,0
24.580000000000002,1.5291035315979375,-6.523321890691675,-0.25750651455113827,0.25750651455113827,-0.24323993921279907,0.24323993921279907,0.705332903871414,-0.705332903871414,3,1.0,0
24.6,1.398621135095012,-6.522971625107022,-0.25430651998708187,0.25430651998708187,-0.24003994464874268,0.24003994464874268,0.705332903871414,-0.705332903871414,3,1.0,0
24.62,1.2681456520608756,-6.5226294688816315,-0.2511065254230255,0.2511065254230255,-0.23683995008468628,0.23683995008468628,0.705332903871414,-0.705332903871414,3,1.0,0
24.64,1.1376769203271988,-6.522295418170008,-0.2479065308589691,0.2479065308589691,-0.23363995552062988,0.23363995552062988,0.7053329038714141,-0.7053329038714141,3,1.0,0
24.66,1.0072147778011598,-6.521969469251886,-0.24470653629491274,0.24470653629491274,-0.2304399609565735,0.2304399609565735,0.7053329038714142,-0.7053329038714142,3,1.0,0
24.68,0.8767590624629436,-6.52165161853205,-0.24150654173085637,0.24150654173085637,-0.2272399663925171,0.2272399663925171,0.7053329038714145,-0.7053329038714145,3,1.0,0
24.7,0.7463096123632422,-6.5213418625401145,-0.2383065471668,0.2383065471668,-0.2240399718284607,0.2240399718284607,0.7053329038714146,-0.7053329038714146,3,1.0,0
24.72,0.6158662656207599,-6.521040197930349,-0.2351065526027436,0.2351065526027436,-0.2208399772644043,0.2208399772644043,0.7053329038714146,-0.7053329038714146,3,1.0,0
24.740000000000002,0.4854288604197216,-6.5207466214814955,-0.2319065580386872,0.2319065580386872,-0.2176399827003479,0.2176399827003479,0.7053329038714146,-0.7053329038714146,3,1.0,0
24.76,0.35499723500738534,-6.520461130096585,-0.2287065634746308,0.2287065634746308,-0.2144399881362915,0.2144399881362915,0.7053329038714146,-0.7053329038714146,3,1.0,0
