file,sha256,rows,balance_rows,motor_mode,end_reason,possible_capacity_cutoff,balance_elapsed_s,max_balance_gap_ms,measured_drift_peak_rad,tracking_within_2deg_percent,ramp_complete_s_after_engage,drift_at_ramp_rad,pre_ramp_peak_tracking_error_deg,pre_ramp_offset_at_peak_error_deg,post_ramp_peak_tracking_error_deg,post_ramp_offset_at_peak_error_deg,post_ramp_peak_s_after_engage
bal_20260702_151416.csv,4a78f5db54d780fac0f28341072260fea692863773680512a0dd9a5f084e8678,2638,2197,speed,unknown,False,46.759,2866.0,17.9,88.21119708693674,5.879,0.18,5.579999999999998,0.0,-3.970000000000013,-2.2871,7.239
bal_20260702_152107.csv,74fff08bcfbf114bcfab00a732e713a1b28bd221b897224e4f5c8ec8b55ade88,992,551,speed,unknown,False,12.778,1805.0,10.29,74.41016333938293,4.439,-4.5,-11.519999999999996,0.0,-6.36999999999999,-0.263,4.439
bal_20260702_154158.csv,694d577eefc73b38f60a184f9a01cc223a93602038ea118a1402560588fed8eb,441,0,speed,unknown,False,,,,,,,,,,,
bal_20260702_154823.csv,e5a003b108b6ab83a8f58acbc0489c312609408502c33f2f838aaa840ac643da,637,196,speed,unknown,False,4.524,650.0,6.76,63.775510204081634,3.183,-1.78,-2.469999999999999,0.0,-42.35000000000001,-1.7936,4.524
bal_20260702_155640.csv,a609eda206e2e5934efd25c11e9494cf2ac0ab79b9aa7abe384a47ed4c41a2c1,1376,935,speed,unknown,False,19.715,1060.0,11.62,71.44385026737967,3.216,5.69,30.950000000000003,0.0,-16.650000000000006,0.0,3.216
bal_20260702_161437.csv,068f5d598711c846fbc4d669102e2dd427b14d9e1b7f4437ae4e9c945546257e,3000,2559,speed,unknown,True,52.141,1007.0,13.37,72.52833137944509,3.16,0.11,1.0900000000000034,0.0,1.6400000000000006,0.5694,3.761
bal_20260702_164034.csv,0a861e25140a59da5361328f4df8abc3d6fbdcf9a2bc9538903fc6830c5aad02,1429,988,speed,unknown,False,21.976,2263.0,13.81,74.08906882591093,4.417,1.81,2.059999999999988,0.0,-3.730000000000004,-2.4131,4.557
bal_20260702_164837.csv,09de1d8546fe2932a5fcf13974215d3c3d71c91aef8b54166f1c6180b96d1281,2410,1969,speed,unknown,False,40.852,1519.0,19.25,81.76739461655663,3.713,12.0,7.199999999999989,0.0,4.569999999999993,0.32,3.713
bal_20260702_170714.csv,4b62b9898909ed55dade491ba28317bca531c8b5757e30f4b9187901d9429654,1664,1223,speed,unknown,False,24.799,385.0,5.38,91.00572363041701,2.939,4.1,2.6899999999999977,2.2881,2.049999999999997,2.4416,3.019
bal_20260702_171838.csv,3e928c9dec7ef2d6414fb2534f83d02f1674f2d3b1f50bf7abcb2ed7fb2cc806,3000,2559,speed,unknown,True,52.472,1338.0,10.01,91.7936694021102,3.912,4.7,1.75,2.2377,-1.1200000000000045,-1.1835,4.932
